scenario,mode,controller,seed,rep,verdict,error
SC-EDGE-01,enforcement,rl,2024,0,True,
SC-EDGE-01,enforcement,rl,2024,1,True,
SC-EDGE-01,enforcement,rl,2024,2,True,
SC-EDGE-01,enforcement,rl,2024,3,False,
SC-EDGE-01,enforcement,rl,2024,4,True,
SC-EDGE-01,enforcement,rl,2024,5,True,
SC-EDGE-01,enforcement,rl,2024,6,True,
SC-EDGE-01,enforcement,rl,2024,7,False,
SC-EDGE-01,enforcement,rl,2024,8,True,
SC-EDGE-01,enforcement,rl,2024,9,True,
SC-EDGE-01,enforcement,rl,2024,10,True,
SC-EDGE-01,enforcement,rl,2024,11,False,
SC-EDGE-01,enforcement,rl,2024,12,True,
SC-EDGE-01,enforcement,rl,2024,13,True,
SC-EDGE-01,enforcement,rl,2024,14,False,
SC-EDGE-01,enforcement,rl,2024,15,False,
SC-EDGE-01,enforcement,rl,2024,16,False,
SC-EDGE-01,enforcement,rl,2024,17,False,
SC-EDGE-01,enforcement,rl,2024,18,True,
SC-EDGE-01,enforcement,rl,2024,19,True,
SC-EDGE-01,enforcement,rl,2024,20,False,
SC-EDGE-01,enforcement,rl,2024,21,True,
SC-EDGE-01,enforcement,rl,2024,22,False,
SC-EDGE-01,enforcement,rl,2024,23,False,
SC-EDGE-01,enforcement,rl,2024,24,True,
SC-EDGE-01,enforcement,rl,2024,25,False,
SC-EDGE-01,enforcement,rl,2024,26,False,
SC-EDGE-01,enforcement,rl,2024,27,False,
SC-EDGE-01,enforcement,rl,2024,28,True,
SC-EDGE-01,enforcement,rl,2024,29,True,
SC-EDGE-01,monitoring,rl,2024,0,True,
SC-EDGE-01,monitoring,rl,2024,1,True,
SC-EDGE-01,monitoring,rl,2024,2,True,
SC-EDGE-01,monitoring,rl,2024,3,True,
SC-EDGE-01,monitoring,rl,2024,4,True,
SC-EDGE-01,monitoring,rl,2024,5,True,
SC-EDGE-01,monitoring,rl,2024,6,True,
SC-EDGE-01,monitoring,rl,2024,7,True,
SC-EDGE-01,monitoring,rl,2024,8,True,
SC-EDGE-01,monitoring,rl,2024,9,True,
SC-EDGE-01,monitoring,rl,2024,10,True,
SC-EDGE-01,monitoring,rl,2024,11,True,
SC-EDGE-01,monitoring,rl,2024,12,True,
SC-EDGE-01,monitoring,rl,2024,13,False,
SC-EDGE-01,monitoring,rl,2024,14,True,
SC-EDGE-01,monitoring,rl,2024,15,True,
SC-EDGE-01,monitoring,rl,2024,16,False,
SC-EDGE-01,monitoring,rl,2024,17,True,
SC-EDGE-01,monitoring,rl,2024,18,True,
SC-EDGE-01,monitoring,rl,2024,19,True,
SC-EDGE-01,monitoring,rl,2024,20,True,
SC-EDGE-01,monitoring,rl,2024,21,True,
SC-EDGE-01,monitoring,rl,2024,22,True,
SC-EDGE-01,monitoring,rl,2024,23,True,
